date,GBTC,IBIT,FBTC,OTHER,total_flow_usd_millions,close,return_1d,return_5d,return_10d,fwd_return_1d,fwd_return_5d,fwd_return_10d,flow_signal,flow_signal_5d_ma,cumulative_flow,flow_positive,strategy_return_1d,strategy_return_5d,fwd_return_positive,gold_close,gold_return,btc_return,btc_fwd_1d,btc_fwd_5d,gold_5d_return,gold_rising,btc_gold_corr_30d,fear_greed,etf_outflow,etf_inflow,gold_5d_ret,gold_falling,extreme_fear,extreme_greed,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d
2024-01-11,-475.1642923494384,120.31047445295232,77.13594962343744,37.890546102740096,-239.8273221703085,46368.58594,-0.5558733758850076,5.409034225863851,4.983896035433677,-7.581464689367223,-11.01290290070035,-13.877450044145125,-239.8273221703085,,-239.8273221703085,0,-0.0,,0,187.8699951171875,,,-7.581464689367223,-10.244391959993417,,0,,76,1,0,,0,0,0,-7.581464689367223,-10.244391959993415,-9.816376233447844
2024-01-12,-498.648941969368,257.707212718054,78.51111053960634,21.34632261951941,-141.08429609218825,42853.16797,-7.581464689367223,-2.480320560312565,-4.681707911903821,-0.7962053592837415,-2.8813779202144785,-2.4182503396842803,-141.08429609218825,,-380.9116182624967,0,-0.0,,0,189.7100067138672,0.9794068475553752,-7.581464689367223,0.7042124405161054,-7.807592620322223,,0,,71,1,0,,0,0,0,0.7042124405161054,-7.8075926203222235,1.0152764442166395
2024-01-16,-399.46321942995576,237.1145873371309,82.07783543229198,111.87574757729436,31.604950916761467,43154.94531,1.5124600880781491,-6.930641866366982,-1.8964884311269747,-0.9553782701804624,-7.668633354131815,-0.4688591968928235,31.604950916761467,,-449.0216755727198,1,-0.9553782701804624,,0,187.91000366210935,-0.9488181898979596,0.7042124405161054,-0.9553782701804624,-7.668633354131815,,0,,64,1,0,,0,0,0,-0.9553782701804625,-7.668633354131815,-0.4688591968928235
2024-01-17,-479.4611612519757,139.60148132841795,109.30560308862316,17.974012572371812,-212.5800642625628,42742.65234,-0.9553782701804624,-0.2578937222969646,-2.7318176915916315,-3.463972554212336,-6.236342330364608,-0.3744430006984434,-212.5800642625628,-132.3203479670565,-661.6017398352826,0,-0.0,,0,185.83999633789065,-1.101595063528893,-0.9553782701804624,-3.463972554212336,-6.236342330364608,,0,,60,1,0,,0,0,0,-3.4639725542123356,-6.236342330364608,-0.3744430006984434
2024-01-18,-471.7290551621207,208.65897874729,76.77133679565671,50.72658370018274,-135.57215591899129,41262.058594,-3.463972554212336,-3.688693560786571,-12.153255427997813,0.8636206436191118,-3.219058983627987,4.395599511517667,-135.57215591899129,-111.4693147167931,-797.1738957542739,0,0.0,-0.0,1,187.3699951171875,0.8232882099906247,-3.463972554212336,0.8636206436191118,-3.219058983627987,,0,,63,1,0,,0,0,0,0.8636206436191118,-3.219058983627987,4.395599511517667
2024-01-19,-373.45806824261024,184.43227646079205,83.14540761264362,92.36661666246287,-13.513767506711687,41618.40625,0.8636206436191118,-0.4255482175803626,-9.799199462033616,-5.072368815180184,0.4768679483011295,3.7662497707970255,-13.513767506711687,-85.95520899969777,-810.6876632609856,0,-0.0,0.0,0,187.92999267578125,0.298872590696031,0.8636206436191118,-5.072368815180184,0.4768679483011295,0.0319356790084102,1,,51,1,0,0.03193567900841021,0,0,0,-5.072368815180184,0.47686794830112955,3.7662497707970255
2024-01-22,-406.56914903636647,316.77820616598075,0.0719726187156908,47.61075826262854,-42.108211989041486,39507.36719,-4.906437469287683,-7.569219439787355,-7.807592620322223,0.8560013335578542,9.570060393589095,7.9764889541858786,-42.108211989041486,-74.43384975210915,-852.795875250027,0,0.0,0.0,1,187.22000122070312,-0.3777957126316789,-5.072368815180184,0.8560013335578542,9.570060393589095,-1.312532499626995,0,,55,1,0,-1.312532499626995,1,0,0,0.8560013335578542,9.570060393589097,7.9764889541858786
2024-01-23,-461.06037881822135,225.4420843301213,116.65310698809928,63.57115388749202,-55.39403361250877,39845.55078,0.8560013335578542,-3.432954782837672,-6.995017161604988,0.5810521738758734,7.797755431102127,8.129191431897187,-55.39403361250877,-91.8336466579632,-908.1899088625358,0,0.0,7.797755431102127,1,187.9499969482422,0.3899133227109219,0.8560013335578542,0.5810521738758734,7.797755431102127,0.0212832128962725,1,,50,1,0,0.021283212896294756,0,0,0,0.5810521738758734,7.797755431102127,8.129191431897187
2024-01-24,-403.2259860332307,233.7602662075202,93.85953903591972,18.128194155593608,-57.47798663419718,40077.074219,0.5810521738758734,-3.7034864375663057,-4.113274534623268,-0.3574752693201399,6.251781847418791,10.582480192601796,-57.47798663419718,-60.813231132290085,-965.6678954967332,0,-0.0,0.0,0,186.3999938964844,-0.8246890539639895,0.5810521738758734,-0.3574752693201399,6.251781847418791,0.3013331734981195,1,,48,1,0,0.3013331734981195,0,0,0,-0.35747526932013995,6.251781847418791,10.582480192601796
2024-01-25,-446.4117470859302,158.81230338775327,119.92040439438608,62.84921291622946,-104.82982638756135,39933.80859,-0.3574752693201399,-4.156373445686857,-6.064551315328104,4.715459322533899,7.867931862594224,13.441637573592624,-104.82982638756135,-54.6647652260041,-1070.4977218842944,0,0.0,0.0,1,187.13999938964844,0.3969986681303217,-0.3574752693201399,4.715459322533899,7.867931862594224,-0.1227494975357235,0,,52,1,0,-0.1227494975357235,1,0,0,4.715459322533899,7.867931862594224,13.441637573592624
